DATAFLOW,LAST UPDATE,freq,sex,age,n_child,agechild,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,AT,2017,9.7,
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,AT,2018,10.0,
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,AT,2019,9.0,
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,AT,2020,19.3,
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,AT,2021,21.9,b
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BE,2017,13.7,b
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BE,2018,15.1,
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BE,2019,14.2,
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BE,2020,18.2,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BE,2021,20.0,b
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BG,2017,,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BG,2018,,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BG,2019,,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BG,2020,,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,BG,2021,,bu
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CY,2017,,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CY,2018,,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CY,2019,,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CY,2020,,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CY,2021,7.8,bu
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CZ,2017,4.7,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CZ,2018,2.8,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CZ,2019,3.7,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CZ,2020,6.1,u
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,CZ,2021,7.0,bu
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,DE,2017,3.2,
ESTAT:LFST_HHWAHCHI(1.0),15/02/23 23:00:00,A,F,Y18-24,0,NAP,PC,DE,2018,3.4,
