"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2023,1,1,"Ciutat Vella",1,"el Raval","Dones","Atur Registrat",1379
2023,1,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Atur Registrat",389
2023,1,1,"Ciutat Vella",3,"la Barceloneta","Dones","Atur Registrat",427
2023,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Atur Registrat",591
2023,1,2,"Eixample",5,"el Fort Pienc","Dones","Atur Registrat",538
2023,1,2,"Eixample",6,"la Sagrada Família","Dones","Atur Registrat",910
2023,1,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Atur Registrat",604
2023,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Atur Registrat",603
2023,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Atur Registrat",980
2023,1,2,"Eixample",10,"Sant Antoni","Dones","Atur Registrat",695
2023,1,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Atur Registrat",949
2023,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Atur Registrat",44
2023,1,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Atur Registrat",885
2023,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Atur Registrat",243
2023,1,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Atur Registrat",352
2023,1,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Atur Registrat",412
2023,1,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Atur Registrat",429
2023,1,3,"Sants-Montjuïc",18,"Sants","Dones","Atur Registrat",828
2023,1,4,"Les Corts",19,"les Corts","Dones","Atur Registrat",822
2023,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Atur Registrat",424
2023,1,4,"Les Corts",21,"Pedralbes","Dones","Atur Registrat",103
2023,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Atur Registrat",46
2023,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Atur Registrat",228
2023,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Atur Registrat",177
2023,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Atur Registrat",281
2023,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Atur Registrat",551
2023,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Atur Registrat",439
2023,1,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Atur Registrat",284
2023,1,6,"Gràcia",29,"el Coll","Dones","Atur Registrat",117
2023,1,6,"Gràcia",30,"la Salut","Dones","Atur Registrat",239
2023,1,6,"Gràcia",31,"la Vila de Gràcia","Dones","Atur Registrat",939
2023,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Atur Registrat",605
2023,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Atur Registrat",467
2023,1,7,"Horta-Guinardó",34,"Can Baró","Dones","Atur Registrat",171
2023,1,7,"Horta-Guinardó",35,"el Guinardó","Dones","Atur Registrat",768
2023,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Atur Registrat",232
2023,1,7,"Horta-Guinardó",37,"el Carmel","Dones","Atur Registrat",790
2023,1,7,"Horta-Guinardó",38,"la Teixonera","Dones","Atur Registrat",253
2023,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Atur Registrat",156
2023,1,7,"Horta-Guinardó",40,"Montbau","Dones","Atur Registrat",113
2023,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Atur Registrat",120
2023,1,7,"Horta-Guinardó",42,"la Clota","Dones","Atur Registrat",8
2023,1,7,"Horta-Guinardó",43,"Horta","Dones","Atur Registrat",676
2023,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Atur Registrat",634
2023,1,8,"Nou Barris",45,"Porta","Dones","Atur Registrat",618
2023,1,8,"Nou Barris",46,"el Turó de la Peira","Dones","Atur Registrat",395
2023,1,8,"Nou Barris",47,"Can Peguera","Dones","Atur Registrat",55
2023,1,8,"Nou Barris",48,"la Guineueta","Dones","Atur Registrat",448
2023,1,8,"Nou Barris",49,"Canyelles","Dones","Atur Registrat",219
2023,1,8,"Nou Barris",50,"les Roquetes","Dones","Atur Registrat",474
2023,1,8,"Nou Barris",51,"Verdun","Dones","Atur Registrat",363
2023,1,8,"Nou Barris",52,"la Prosperitat","Dones","Atur Registrat",695
2023,1,8,"Nou Barris",53,"la Trinitat Nova","Dones","Atur Registrat",317
2023,1,8,"Nou Barris",54,"Torre Baró","Dones","Atur Registrat",88
2023,1,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Atur Registrat",457
2023,1,8,"Nou Barris",56,"Vallbona","Dones","Atur Registrat",53
2023,1,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Atur Registrat",423
2023,1,9,"Sant Andreu",58,"Baró de Viver","Dones","Atur Registrat",60
2023,1,9,"Sant Andreu",59,"el Bon Pastor","Dones","Atur Registrat",344
2023,1,9,"Sant Andreu",60,"Sant Andreu","Dones","Atur Registrat",1392
2023,1,9,"Sant Andreu",61,"la Sagrera","Dones","Atur Registrat",614
2023,1,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Atur Registrat",299
2023,1,9,"Sant Andreu",63,"Navas","Dones","Atur Registrat",460
2023,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Atur Registrat",837
2023,1,10,"Sant Martí",65,"el Clot","Dones","Atur Registrat",607
